genesymbol,cell_type,organ,organism
CIDEA,Adipocytes,Connective tissue,human
CIDEA,Thymocytes,Thymus,human
PRDM16,Adipocytes,Connective tissue,human
LHX8,Adipocytes,Connective tissue,human
EPSTI1,Adipocytes,Connective tissue,human
MC2R,Adipocytes,Connective tissue,human
FFAR2,Sebocytes,Skin,human
FFAR2,Adipocytes,Connective tissue,human
FFAR2,Beta cells,Pancreas,human
PIKFYVE,Adipocytes,Connective tissue,human
CYP11B2,Adipocytes,Connective tissue,human
TLR2,Müller cells,Eye,human
TLR2,Langerhans cells,Skin,human
TLR2,Hematopoietic stem cells,Bone,human
TLR2,Macrophages,Immune system,human
TLR2,Neutrophils,Immune system,human
TLR2,Adipocytes,Connective tissue,human
TLR4,Langerhans cells,Skin,human
TLR4,Macrophages,Immune system,human
TLR4,Monocytes,Immune system,human
TLR4,Osteoclast precursor cells,Bone,human
TLR4,Basophils,Immune system,human
TLR4,Satellite glial cells,Brain,human
TLR4,Adipocytes,Connective tissue,human
TLR4,Kupffer cells,Liver,human
TLR4,Platelets,Blood,human
ADRB1,Adipocytes,Connective tissue,human
ADRB1,Pinealocytes,Brain,human
ADRB2,Adipocytes,Connective tissue,human
ADRB2,Microglia,Brain,human
ADRB2,Pyramidal cells,Brain,human
ADRB3,Adipocytes,Connective tissue,human
FABP4,Paneth cells,GI tract,human
FABP4,Smooth muscle cells,Smooth muscle,human
FABP4,Macrophages,Immune system,human
FABP4,Endothelial cells,Vasculature,human
FABP4,Adipocytes,Connective tissue,human
FABP4,Cardiomyocytes,Heart,human
FABP4,Dendritic cells,Immune system,human
FABP4,Loop of Henle cells,Kidney,human
FABP4,Fibroblasts,Connective tissue,human
TNFRSF9,Adipocytes,Connective tissue,human
TBX1,Endothelial cells,Vasculature,human
TBX1,Adipocytes,Connective tissue,human
TMEM26,Adipocytes,Connective tissue,human
TCF21,Fibroblasts,Connective tissue,human
TCF21,Adipocytes,Connective tissue,human
TCF21,Podocytes,Kidney,human
TCF21,Smooth muscle cells,Smooth muscle,human
ADIPOQ,Cardiomyocytes,Heart,human
ADIPOQ,Paneth cells,GI tract,human
ADIPOQ,Adipocytes,Connective tissue,human
CFD,Adipocytes,Connective tissue,human
CFD,Paneth cells,GI tract,human
CFD,Leydig cells,Reproductive,human
ACVR1C,Adipocytes,Connective tissue,human
SLC2A4,Adipocytes,Connective tissue,human
SLC2A4,Oxyphil cells,Parathyroid glands,human
SLC2A4,Podocytes,Kidney,human
LPIN1,Adipocytes,Connective tissue,human
PLIN1,Adipocytes,Connective tissue,human
PLIN1,Hepatocytes,Liver,human
PCK1,Adipocytes,Connective tissue,human
PCK1,Proximal tubule cells,Kidney,human
PCK1,Hepatocytes,Liver,human
RETN,Adipocytes,Connective tissue,human
MEST,Tanycytes,Brain,human
MEST,Adipocytes,Connective tissue,human
ADM2,Adipocytes,Connective tissue,human
STAT6,Adipocytes,Connective tissue,human
TFE3,Adipocytes,Connective tissue,human
CPPED1,Adipocytes,Connective tissue,human
CAVIN1,Adipocytes,Connective tissue,human
AGT,Adipocytes,Connective tissue,human
AGT,Astrocytes,Brain,human
SLC1A5,Adipocytes,Connective tissue,human
SLC1A5,Neutrophils,Immune system,human
ACSL1,Adipocytes,Connective tissue,human
ACSL1,Epsilon cells,Pancreas,human
P16015,Adipocytes,Connective tissue,mouse
BCAT2,Adipocytes,Connective tissue,human
PNPLA2,Oligodendrocytes,Brain,human
PNPLA2,Adipocytes,Connective tissue,human
CIDEC,Adipocytes,Connective tissue,human
CDO1,Adipocytes,Connective tissue,human
CDO1,Oligodendrocyte progenitor cells,Brain,human
APOC1,Adipocytes,Connective tissue,human
MMP2,Fibroblasts,Connective tissue,human
MMP2,Adipocytes,Connective tissue,human
POSTN,Osteoblasts,Bone,human
POSTN,Fibroblasts,Connective tissue,human
POSTN,Adipocytes,Connective tissue,human
POSTN,Endothelial cells,Vasculature,human
LOX,Fibroblasts,Connective tissue,human
LOX,Endothelial cells,Vasculature,human
LOX,Smooth muscle cells,Smooth muscle,human
LOX,Cardiomyocytes,Heart,human
LOX,Adipocytes,Connective tissue,human
COL6A2,Fibroblasts,Connective tissue,human
COL6A2,Adipocytes,Connective tissue,human
COL6A2,Pancreatic stellate cells,Pancreas,human
ZBTB16,Myoblasts,Skeletal muscle,human
ZBTB16,Natural killer T cells,Immune system,human
ZBTB16,Adipocytes,Connective tissue,human
ZBTB16,NK cells,Immune system,human
GULP1,Adipocytes,Connective tissue,human
FZD4,Adipocytes,Connective tissue,human
TRIP10,Adipocytes,Connective tissue,human
FGF7,Adipocytes,Connective tissue,human
MAOB,Adipocytes,Connective tissue,human
MAOB,Mast cells,Immune system,human
SOCS1,Adipocytes,Connective tissue,human
SULT1A1,Hepatocytes,Liver,human
NNMT,Adipocytes,Connective tissue,human
NNMT,Mammary epithelial cells,Mammary gland,human
NNMT,Fibroblasts,Connective tissue,human
AOC3,Pericytes,Vasculature,human
AOC3,Adipocytes,Connective tissue,human
AOC3,Smooth muscle cells,Smooth muscle,human
H6PD,Adipocytes,Connective tissue,human
CYP27A1,Macrophages,Immune system,human
CYP27A1,Adipocytes,Connective tissue,human
MNDA,Adipocytes,Connective tissue,human
MNDA,Monocytes,Immune system,human
HSD11B1,Proximal tubule cells,Kidney,human
HSD11B1,Adipocytes,Connective tissue,human
HSD11B1,Hepatocytes,Liver,human
HSD11B1,Mast cells,Immune system,human
AR,Luminal epithelial cells,Mammary gland,human
AR,Hepatocytes,Liver,human
AR,Adipocytes,Connective tissue,human
AR,Sertoli cells,Reproductive,human
AR,Monocytes,Immune system,human
GDF10,Stromal cells,Connective tissue,human
GDF10,Bergmann glia,Brain,human
GDF10,Adipocytes,Connective tissue,human
CYP1B1,Endothelial cells,Vasculature,human
CYP1B1,Adipocytes,Connective tissue,human
CYP1B1,Fibroblasts,Connective tissue,human
STEAP4,Pericytes,Vasculature,human
STEAP4,Adipocytes,Connective tissue,human
CCL11,Adipocytes,Connective tissue,human
CCL11,Eosinophils,Immune system,human
CCL11,Osteoblasts,Bone,human
CCL11,Fibroblasts,Connective tissue,human
NR1H3,Red pulp macrophages,Immune system,human
DEPTOR,Adipocytes,Connective tissue,human
TRARG1,Adipocytes,Connective tissue,mouse
FMO1,Adipocytes,Connective tissue,human
FMO1,Neurons,Brain,human
ACADSB,Adipocytes,Connective tissue,human
XDH,Adipocytes,Connective tissue,human
XDH,Endothelial cells,Vasculature,human
PTGES,Principal cells,Kidney,human
PTGES,Adipocytes,Connective tissue,human
CREB3L1,Adipocytes,Connective tissue,human
CREB3L1,Mast cells,Immune system,human
ANGPTL2,Podocytes,Kidney,human
ANGPTL2,Adipocytes,Connective tissue,human
ANGPTL2,Fibroblasts,Connective tissue,human
ANGPTL2,Ependymal cells,Brain,human
ADAM12,Myoblasts,Skeletal muscle,human
ADH1A,Adipocytes,Connective tissue,mouse
LBP,Adipocytes,Connective tissue,human
NMB,Adipocytes,Connective tissue,human
FST,Hepatocytes,Liver,human
FST,Keratinocytes,Skin,human
CPXM1,Adipocytes,Connective tissue,human
C3,Adipocytes,Connective tissue,human
ADAMTS5,Adipocytes,Connective tissue,human
ADAMTS5,Loop of Henle cells,Kidney,human
ADAMTS5,Fibroblasts,Connective tissue,human
MT2A,Adipocytes,Connective tissue,human
MT2A,Mast cells,Immune system,mouse
METRN,Bergmann glia,Brain,human
METRN,Adipocytes,Connective tissue,human
METRNL,Adipocytes,Connective tissue,human
MYO1C,Adipocytes,Connective tissue,human
NQO1,Adipocytes,Connective tissue,human
AQP5,Adipocytes,Connective tissue,human
AQP5,Luminal epithelial cells,Mammary gland,human
AQP5,Pulmonary alveolar type I cells,Lungs,human
TSPO,Adipocytes,Connective tissue,human
AZGP1,Adipocytes,Connective tissue,human
LRP1,Adipocytes,Connective tissue,human
LRP1,Megakaryocytes,Immune system,human
PDE3B,Adipocytes,Connective tissue,human
LGALS12,Adipocytes,Connective tissue,human
SERPINF1,Plasmacytoid dendritic cells,Immune system,human
SERPINF1,Adipocytes,Connective tissue,human
SERPINF1,Osteoclasts,Bone,human
CPT1B,Adipocytes,Connective tissue,human
ELOVL3,Adipocytes,Connective tissue,human
PPARGC1A,Adipocytes,Connective tissue,human
MPZL1,Adipocytes,Connective tissue,human
CITED1,Mammary epithelial cells,Mammary gland,human
CITED1,Adipocytes,Connective tissue,human
DPT,Fibroblasts,Connective tissue,human
DPT,Adipocytes,Connective tissue,human
ZNF423,Adipocytes,Connective tissue,human
ESM1,Endothelial cells,Vasculature,human
ESM1,Adipocytes,Connective tissue,human
ESM1,Serotonergic neurons,Brain,human
TH,Glomus cells,,human
TH,Noradrenergic neurons,Brain,human
TH,Neurons,Brain,human
TH,Adrenergic neurons,Brain,human
TH,Dopaminergic neurons,Brain,human
DDC,Serotonergic neurons,Brain,human
DDC,Oligodendrocytes,Brain,human
DDC,Mast cells,Immune system,human
DDC,Adrenergic neurons,Brain,human
DDC,Dopaminergic neurons,Brain,human
DDC,Noradrenergic neurons,Brain,human
DBH,Noradrenergic neurons,Brain,human
DBH,Adrenergic neurons,Brain,human
PNMT,Adrenergic neurons,Brain,human
PNMT,Cardiomyocytes,Heart,human
PNMT,Chromaffin cells,Adrenal glands,human
SLC18A2,Adrenergic neurons,Brain,human
SLC18A2,Chromaffin cells,Adrenal glands,human
SLC18A2,Dopaminergic neurons,Brain,human
SLC18A2,Enteric glia cells,GI tract,human
SLC18A2,Serotonergic neurons,Brain,human
SLC18A2,Noradrenergic neurons,Brain,human
NPFF,Adrenergic neurons,Brain,human
SLC12A7,Adrenergic neurons,Brain,human
SYT1,Adrenergic neurons,Brain,human
AQP1,Endothelial cells,Vasculature,human
AQP1,Choroid plexus cells,Brain,human
AQP1,Cardiomyocytes,Heart,human
AQP1,Ductal cells,Pancreas,human
AQP1,Airway epithelial cells,Lungs,human
AQP1,Loop of Henle cells,Kidney,human
AQP1,Proximal tubule cells,Kidney,human
AQP1,Cholangiocytes,Liver,human
AQP1,Neurons,Brain,human
AQP1,Ependymal cells,Brain,human
ADH7,Airway epithelial cells,Lungs,human
CDH1,Plasmacytoid dendritic cells,Immune system,human
CDH1,Epithelial cells,Epithelium,human
CDH1,Embryonic stem cells,Zygote,human
CDH1,Basophils,Immune system,human
CDH1,Sebocytes,Skin,human
CDH1,Airway epithelial cells,Lungs,human
CDH1,Epiblast cells,Embryo,human
CDH1,Satellite glial cells,Brain,human
CDH1,Luminal epithelial cells,Mammary gland,human
CDH1,Hepatocytes,Liver,human
CDH1,Erythroblasts,Blood,human
CDH1,Mammary epithelial cells,Mammary gland,human
SEC14L3,Ciliated cells,Lungs,human
SEC14L3,Pulmonary alveolar type I cells,Lungs,human
SEC14L3,Airway epithelial cells,Lungs,human
MUC5B,Clara cells,Lungs,human
MUC5B,Goblet cells,GI tract,human
MUC5B,Cholangiocytes,Liver,human
MUC5B,Airway goblet cells,Lungs,human
MUC16,Airway goblet cells,Lungs,human
LTF,Neutrophils,Immune system,human
LTF,Luminal epithelial cells,Mammary gland,human
SCGB3A1,Clara cells,Lungs,human
SCGB3A1,Airway goblet cells,Lungs,human
SCGB3A1,Cholangiocytes,Liver,human
DMBT1,Enterocytes,GI tract,human
DMBT1,Paneth cells,GI tract,human
P62810,Mammary epithelial cells,Mammary gland,mouse
MSLN,Mesothelial cells,Epithelium,human
AGR2,Schwann cells,Brain,human
AGR2,Paneth cells,GI tract,human
AGR2,Luminal epithelial cells,Mammary gland,human
AGR2,Cholangiocytes,Liver,human
AGR2,Goblet cells,GI tract,human
GP2,Microfold cells,GI tract,human
PIGR,Ductal cells,Pancreas,human
PIGR,Pulmonary alveolar type II cells,Lungs,human
PIGR,Cholangiocytes,Liver,human
TFF2,Cholangiocytes,Liver,human
TFF2,Ductal cells,Pancreas,human
P08074,Pulmonary alveolar type II cells,Lungs,mouse
P08074,Microglia,Brain,mouse
CEACAM1,Neutrophils,Immune system,human
GALNT5,Airway goblet cells,Lungs,human
GALNT6,Airway goblet cells,Lungs,human
MUC5AC,Goblet cells,GI tract,human
MUC5AC,Foveolar cells,GI tract,human
MUC5AC,Airway goblet cells,Lungs,human
MUC4,Clara cells,Lungs,human
MUC4,Airway goblet cells,Lungs,human
MUC4,Goblet cells,GI tract,human
MUC20,Airway goblet cells,Lungs,human
SPDEF,Goblet cells,GI tract,human
SPDEF,Airway goblet cells,Lungs,human
DUSP4,Airway goblet cells,Lungs,human
NOG,Chondrocytes,Connective tissue,human
ACTA2,Hepatic stellate cells,Liver,human
ACTA2,Smooth muscle cells,Smooth muscle,human
ACTA2,Pericytes,Vasculature,human
ACTA2,Mesangial cells,Kidney,human
ACTA2,Myofibroblasts,Smooth muscle,human
FOXF1,Endothelial cells,Vasculature,human
FOXF1,Fibroblasts,Connective tissue,human
GCG,Alpha cells,Pancreas,human
GCG,Enteroendocrine cells,GI tract,human
TTR,Alpha cells,Pancreas,human
TTR,Hepatocytes,Liver,human
TTR,Choroid plexus cells,Brain,human
GLP1R,Enteroendocrine cells,GI tract,human
ARX,Interneurons,Brain,human
ARX,Enteroendocrine cells,GI tract,human
ARX,Neural stem/precursor cells,Brain,human
ARX,Gamma (PP) cells,Pancreas,human
ARX,Pancreatic progenitor cells,Pancreas,human
ARX,Epsilon cells,Pancreas,human
ARX,Alpha cells,Pancreas,human
POU3F4,Neural stem/precursor cells,Brain,human
NKX2-2,Epsilon cells,Pancreas,human
NKX2-2,Beta cells,Pancreas,human
NKX2-2,Pancreatic progenitor cells,Pancreas,human
NKX2-2,Enteroendocrine cells,GI tract,human
RESP18,Delta cells,Pancreas,human
RESP18,Neurons,Brain,human
RESP18,Alpha cells,Pancreas,human
PYY,Alpha cells,Pancreas,human
PYY,Enteroendocrine cells,GI tract,human
PCSK2,Neurons,Brain,human
PCSK2,Alpha cells,Pancreas,human
PCSK2,Beta cells,Pancreas,human
SLC38A5,Endothelial cells,Vasculature,human
SLC38A5,Alpha cells,Pancreas,human
SLC38A5,Müller cells,Eye,human
TM4SF4,Alpha cells,Pancreas,human
TM4SF4,Hepatocytes,Liver,human
CRYBA2,Alpha cells,Pancreas,human
NKX6-1,Neuroblasts,Brain,human
NKX6-1,Alpha cells,Pancreas,human
NKX6-1,Beta cells,Pancreas,human
KCNK16,Delta cells,Pancreas,human
PCSK1,Beta cells,Pancreas,human
PCSK1,Delta cells,Pancreas,human
PCSK1,Enteroendocrine cells,GI tract,human
PCSK1,Anterior pituitary gland cells,Brain,human
IRX2,Loop of Henle cells,Kidney,human
IRX2,Alpha cells,Pancreas,human
ALDH1A1,Alpha cells,Pancreas,human
ALDH1A1,Clara cells,Lungs,human
ALDH1A1,Leydig cells,Reproductive,human
ALDH1A1,Hematopoietic stem cells,Bone,human
PEMT,Alpha cells,Pancreas,human
CHGA,Alpha cells,Pancreas,human
CHGA,Chromaffin cells,Adrenal glands,human
CHGA,Enteroendocrine cells,GI tract,human
DEPP1,Alpha cells,Pancreas,mouse
SMIM24,Alpha cells,Pancreas,human
F10,Alpha cells,Pancreas,human
SCGN,Beta cells,Pancreas,human
SCGN,Delta cells,Pancreas,human
SCGN,Alpha cells,Pancreas,human
SCGN,Neuroblasts,Brain,human
SCGN,Enteroendocrine cells,GI tract,human
SCGN,Gamma (PP) cells,Pancreas,human
SLC30A8,Beta cells,Pancreas,human
SLC30A8,Alpha cells,Pancreas,human
SH3GL2,Alpha cells,Pancreas,human
SH3GL2,Beta cells,Pancreas,human
SCGB2A1,Beta cells,Pancreas,human
SCGB2A1,Alpha cells,Pancreas,human
SCGB2A1,Gamma (PP) cells,Pancreas,human
FAP,Alpha cells,Pancreas,human
DPP4,NK cells,Immune system,human
DPP4,Enterocytes,GI tract,human
DPP4,Endothelial cells,Vasculature,human
DPP4,Dendritic cells,Immune system,human
DPP4,Podocytes,Kidney,human
DPP4,Proximal tubule cells,Kidney,human
DPP4,Alpha cells,Pancreas,human
GPR119,Enteroendocrine cells,GI tract,human
GPR119,Alpha cells,Pancreas,human
MAFB,Alpha cells,Pancreas,human
MAFB,Podocytes,Kidney,human
MAFB,Microglia,Brain,human
MAFB,Sertoli cells,Reproductive,human
MAFB,Beta cells,Pancreas,human
PAX6,Retinal progenitor cells,Eye,human
PAX6,Alpha cells,Pancreas,human
PAX6,Beta cells,Pancreas,human
PAX6,Immature neurons,Brain,human
PAX6,Enteroendocrine cells,GI tract,human
PAX6,Gamma (PP) cells,Pancreas,human
PAX6,Interneurons,Brain,human
PAX6,Radial glia cells,Brain,human
NEUROD1,Gamma (PP) cells,Pancreas,human
NEUROD1,Beta cells,Pancreas,human
NEUROD1,Alpha cells,Pancreas,human
NEUROD1,Neural stem/precursor cells,Brain,human
NEUROD1,Neuroblasts,Brain,human
NEUROD1,Pinealocytes,Brain,human
NEUROD1,Immature neurons,Brain,human
NEUROD1,Enteroendocrine cells,GI tract,human
LOXL4,Alpha cells,Pancreas,human
PLCE1,Podocytes,Kidney,human
PLCE1,Alpha cells,Pancreas,human
GC,Hepatocytes,Liver,human
GC,Alpha cells,Pancreas,human
GC,Proximal tubule cells,Kidney,human
KLHL41,Alpha cells,Pancreas,human
FEV,Alpha cells,Pancreas,human
FEV,Serotonergic neurons,Brain,human
PTGER3,Alpha cells,Pancreas,human
RFX6,Alpha cells,Pancreas,human
SMARCA1,Mast cells,Immune system,human
SMARCA1,Pulmonary alveolar type I cells,Lungs,human
SMARCA1,Alpha cells,Pancreas,human
PGR,Alpha cells,Pancreas,human
PGR,Luminal epithelial cells,Mammary gland,human
LDB2,Alpha cells,Pancreas,human
IRX1,Pulmonary alveolar type II cells,Lungs,human
IRX1,Alpha cells,Pancreas,human
UCP2,Alpha cells,Pancreas,human
UCP2,Delta cells,Pancreas,human
UCP2,Microglia,Brain,human
UCP2,Macrophages,Immune system,human
UCP2,Thymocytes,Thymus,human
UCP2,Hepatocytes,Liver,human
FXYD5,Alpha cells,Pancreas,human
RGS4,Alpha cells,Pancreas,human
GLS,Enterocytes,GI tract,human
GLS,Alpha cells,Pancreas,human
O35744,Neutrophils,Immune system,mouse
IL1B,Neutrophils,Immune system,human
IL1B,Macrophages,Immune system,human
IL1B,Pulmonary alveolar type II cells,Lungs,human
CCL3,Microglia,Brain,human
CCL3,NK cells,Immune system,human
CCL3,Osteoclasts,Bone,human
CCL3,Basophils,Immune system,human
CCL3,Macrophages,Immune system,human
CCL3,Neutrophils,Immune system,human
G0S2,Hepatocytes,Liver,human
G0S2,Hematopoietic stem cells,Bone,human
CXCL2,Neutrophils,Immune system,human
CXCL2,Macrophages,Immune system,human
CXCL2,Ductal cells,Pancreas,human
CXCL2,Pulmonary alveolar type II cells,Lungs,human
MCEMP1,Mast cells,Immune system,human
GDA,Interneurons,Brain,human
CLEC7A,Dendritic cells,Immune system,human
CLEC7A,Macrophages,Immune system,human
CLEC7A,Monocytes,Immune system,human
ITGAX,Dendritic cells,Immune system,human
ITGAX,Neutrophils,Immune system,human
ITGAX,NK cells,Immune system,human
ITGAX,Basophils,Immune system,human
ITGAX,Macrophages,Immune system,human
ITGAX,Monocytes,Immune system,human
ITGAX,Alveolar macrophages,Lungs,human
ITGAX,Microglia,Brain,human
TNFAIP2,Microfold cells,GI tract,human
CD36,Macrophages,Immune system,human
CD36,Reticulocytes,Blood,human
CD36,Erythroid-like and erythroid precursor cells,Blood,human
CD36,Pulmonary alveolar type II cells,Lungs,human
CD36,Enterocytes,GI tract,human
CD36,Cardiomyocytes,Heart,human
CD36,Platelets,Blood,human
CD36,Endothelial cells,Vasculature,human
GAL,Enteric neurons,GI tract,human
GAL,Enteroendocrine cells,GI tract,human
GAL,Satellite cells,Skeletal muscle,human
Q64444,Endothelial cells,Vasculature,mouse
NR2F6,Alveolar macrophages,Lungs,mouse
NR2F6,Kupffer cells,Liver,mouse
NR2F6,Eosinophils,Immune system,mouse
NR2F6,Dendritic cells,Immune system,mouse
GPNMB,Macrophages,Immune system,human
GPNMB,Langerhans cells,Skin,human
GPNMB,Melanocytes,Skin,human
MRC1,Monocytes,Immune system,human
MRC1,Macrophages,Immune system,human
MRC1,Alveolar macrophages,Lungs,human
P17897,Pulmonary alveolar type II cells,Lungs,mouse
P17897,Macrophages,Immune system,mouse
P17897,Paneth cells,GI tract,mouse
MARCO,Kupffer cells,Liver,human
MARCO,Alveolar macrophages,Lungs,human
CSF2RB,Mast cells,Immune system,human
NR1D1,Alveolar macrophages,Lungs,mouse
NR1D1,Eosinophils,Immune system,mouse
S100A4,Monocytes,Immune system,human
S100A4,Macrophages,Immune system,human
S100A4,Myeloid-derived suppressor cells,Immune system,human
S100A4,Fibroblasts,Connective tissue,human
S100A4,Neutrophils,Immune system,human
S100A4,Alveolar macrophages,Lungs,human
S100A4,T cells,Immune system,human
S100A4,Dendritic cells,Immune system,human
S100A4,NK cells,Immune system,human
GNGT2,Pinealocytes,Brain,human
GNGT2,Alveolar macrophages,Lungs,human
Q920G3,Kupffer cells,Liver,mouse
Q920G3,Alveolar macrophages,Lungs,mouse
Q920G3,Eosinophils,Immune system,mouse
Q920G3,Macrophages,Immune system,mouse
Q920G3,Tuft cells,GI tract,mouse
ANGPT1,Hematopoietic stem cells,Bone,human
ANGPT1,Pericytes,Vasculature,human
ANGPT1,Smooth muscle cells,Smooth muscle,human
ANGPT1,Platelets,Blood,human
GH1,Anterior pituitary gland cells,Brain,human
IGSF1,Anterior pituitary gland cells,Brain,human
NUCB2,Enteroendocrine cells,GI tract,human
PITX2,Hematopoietic stem cells,Bone,human
POU1F1,Anterior pituitary gland cells,Brain,human
PRL,Anterior pituitary gland cells,Brain,human
POMC,Melanocytes,Skin,human
POMC,Anterior pituitary gland cells,Brain,human
