genesymbol,cell_type,organ,organism
CTRB1,Acinar cells,Pancreas,human
KLK1,Endothelial cells,Vasculature,human
KLK1,Principal cells,Kidney,human
KLK1,Acinar cells,Pancreas,human
KLK1,Plasmacytoid dendritic cells,Immune system,human
RBPJL,Acinar cells,Pancreas,human
PTF1A,Acinar cells,Pancreas,human
PTF1A,Pancreatic progenitor cells,Pancreas,human
PRSS3,Acinar cells,Pancreas,mouse
CELA3A,Acinar cells,Pancreas,human
PRSS1,Paneth cells,GI tract,human
PRSS1,Acinar cells,Pancreas,human
SPINK1,Acinar cells,Pancreas,human
SPINK1,Epsilon cells,Pancreas,human
ZG16,Acinar cells,Pancreas,human
CEL,Acinar cells,Pancreas,human
CELA2A,Acinar cells,Pancreas,human
CPB1,Acinar cells,Pancreas,human
CELA1,Fibroblasts,Connective tissue,human
CELA1,Acinar cells,Pancreas,human
RNASE1,Endothelial cells,Vasculature,human
RNASE1,Acinar cells,Pancreas,human
AMY2B,Acinar cells,Pancreas,human
CPA2,Acinar cells,Pancreas,human
CPA1,Acinar cells,Pancreas,human
CELA3B,Acinar cells,Pancreas,human
PNLIP,Acinar cells,Pancreas,human
CTRB2,Acinar cells,Pancreas,human
PLA2G1B,Acinar cells,Pancreas,human
PRSS2,Acinar cells,Pancreas,human
CLPS,Acinar cells,Pancreas,human
REG1A,Acinar cells,Pancreas,human
SYCN,Acinar cells,Pancreas,human
PNLIPRP1,Acinar cells,Pancreas,human
CTRC,Acinar cells,Pancreas,human
REG3A,Enterocytes,GI tract,human
REG3A,Acinar cells,Pancreas,human
SERPINA3,Ductal cells,Pancreas,human
SERPINA3,Acinar cells,Pancreas,human
REG1B,Acinar cells,Pancreas,human
CFB,Ductal cells,Pancreas,human
CFB,Acinar cells,Pancreas,human
GDF15,Acinar cells,Pancreas,human
GDF15,Ductal cells,Pancreas,human
GDF15,Macrophages,Immune system,human
MUC1,Acinar cells,Pancreas,human
MUC1,Luminal epithelial cells,Mammary gland,human
MUC1,Pulmonary alveolar type II cells,Lungs,human
MUC1,Clara cells,Lungs,human
MUC1,Sebocytes,Skin,human
MUC1,Epithelial cells,Epithelium,human
MUC1,Ductal cells,Pancreas,human
C15orf48,Acinar cells,Pancreas,human
DUOXA2,Acinar cells,Pancreas,human
AKR1C3,Acinar cells,Pancreas,human
AKR1C3,Ductal cells,Pancreas,human
OLFM4,Acinar cells,Pancreas,human
OLFM4,Crypt cells,GI tract,human
GSTA1,Enterocytes,GI tract,human
GSTA1,Acinar cells,Pancreas,human
LGALS2,Cholangiocytes,Liver,human
LGALS2,Enterocytes,GI tract,human
LGALS2,Acinar cells,Pancreas,human
PDZK1IP1,Platelets,Blood,human
PDZK1IP1,Acinar cells,Pancreas,human
RARRES2,Acinar cells,Pancreas,human
RARRES2,Adipocytes,Connective tissue,human
RARRES2,Ependymal cells,Brain,human
CXCL17,Acinar cells,Pancreas,human
UBD,Acinar cells,Pancreas,human
GSTA2,Hepatocytes,Liver,human
GSTA2,Proximal tubule cells,Kidney,human
GSTA2,Acinar cells,Pancreas,human
ANPEP,Epithelial cells,Epithelium,human
ANPEP,Acinar cells,Pancreas,human
ANPEP,Enterocytes,GI tract,human
ANPEP,Luminal epithelial cells,Mammary gland,human
ANPEP,Hematopoietic stem cells,Bone,human
ANPEP,Gastric chief cells,GI tract,human
ANPEP,Pericytes,Vasculature,human
LYZ,Neutrophils,Immune system,human
LYZ,Kupffer cells,Liver,human
LYZ,Acinar cells,Pancreas,human
LYZ,Dendritic cells,Immune system,human
LYZ,Paneth cells,GI tract,human
ANGPTL4,Acinar cells,Pancreas,human
ANGPTL4,Sebocytes,Skin,human
ALDOB,Acinar cells,Pancreas,human
ALDOB,Enterocytes,GI tract,human
CEBPA,Sebocytes,Skin,human
CEBPA,Microglia,Brain,human
CEBPA,Pulmonary alveolar type II cells,Lungs,human
CEBPA,Basophils,Immune system,human
EGFR,Adipocytes,Connective tissue,human
EGFR,Bergmann glia,Brain,human
EGFR,Neuroblasts,Brain,human
EGFR,Gastric chief cells,GI tract,human
EGFR,Myoblasts,Skeletal muscle,human
FGF10,Adipocyte progenitor cells,Connective tissue,human
MMP3,Fibroblasts,Connective tissue,human
PPARG,Macrophages,Immune system,human
PPARG,Enterocytes,GI tract,human
PPARG,Melanocytes,Skin,human
PPARG,T helper cells,Immune system,human
PPARG,Megakaryocytes,Immune system,human
PPARG,Adipocytes,Connective tissue,human
TWIST2,Fibroblasts,Connective tissue,human
GATA3,Natural killer T cells,Immune system,human
GATA3,Nuocytes,Immune system,human
GATA3,T helper cells,Immune system,human
GATA3,Principal cells,Kidney,human
GATA3,Mesangial cells,Kidney,human
GATA3,Hematopoietic stem cells,Bone,human
SMO,Chondrocytes,Connective tissue,human
STAB1,Macrophages,Immune system,human
STAB1,Endothelial cells,Vasculature,human
CCN5,Melanocytes,Skin,mouse
CCN5,Osteoblasts,Bone,human
WT1,Sertoli cells,Reproductive,human
WT1,Adipocyte progenitor cells,Connective tissue,human
WT1,Podocytes,Kidney,human
WT1,Hepatocytes,Liver,human
WT1,Neuroblasts,Brain,human
SCARA5,Adipocyte progenitor cells,Connective tissue,human
SCARA5,Fibroblasts,Connective tissue,human
HOXC8,Adipocyte progenitor cells,Connective tissue,human
TCF7L1,Mast cells,Immune system,human
TCF7L1,Adipocyte progenitor cells,Connective tissue,human
HOXC9,Adipocytes,Connective tissue,human
HOXC9,Adipocyte progenitor cells,Connective tissue,human
SULT1E1,Mammary epithelial cells,Mammary gland,human
SULT1E1,Leydig cells,Reproductive,human
EBF2,Adipocytes,Connective tissue,human
EBF2,Adipocyte progenitor cells,Connective tissue,human
NRG4,Adipocyte progenitor cells,Connective tissue,human
SLC36A2,Proximal tubule cells,Kidney,human
SLC36A2,Adipocytes,Connective tissue,human
P2RX5,Osteoblasts,Bone,human
P2RX5,Plasma cells,Immune system,human
P2RX5,Adipocytes,Connective tissue,human
P2RX5,B cells naive,Immune system,human
P2RX5,B cells memory,Immune system,human
LEP,Gastric chief cells,GI tract,human
LEP,Adipocytes,Connective tissue,human
UCP1,Adipocytes,Connective tissue,human
